numero;nom;nom_EN;nom_ES;secteur;secteur_EN;secteur_ES;libelle;libelle_EN;libelle_ES;concept;pays;hors_notation
6;Les Étagères Contacto;Contact Lens Shelves;Estanterías de Contactología;;;;Les étagères sont propres et rangées;Shelves are clean and tidy;Las estanterías están limpias y ordenadas;Tous;;
6;Les Étagères Contacto;Contact Lens Shelves;Estanterías de Contactología;;;;Toutes les références de la stratégie Contacto sont présentées;All Contact Lens strategy references are on display;Todas las referencias de la estrategia de Contactología están expuestas;Tous;;
6;Les Étagères Contacto;Contact Lens Shelves;Estanterías de Contactología;;;;Les produits sont présentés en quantité suffisante;Products are displayed in sufficient quantity;Los productos están expuestos en cantidad suficiente;Tous;;
6;Les Étagères Contacto;Contact Lens Shelves;Estanterías de Contactología;;;;Pas de produit périmé;No expired products;Ningún producto caducado;Tous;;
7;Les Étagères Audio;Audio Shelves;Estanterías de Audio;;;;Toutes les références de la stratégie Audio sont présentées;All Audio strategy references are on display;Todas las referencias de la estrategia de Audio están expuestas;Tous;;
7;Les Étagères Audio;Audio Shelves;Estanterías de Audio;;;;Pas de produit périmé;No expired products;Ningún producto caducado;Tous;;
7;Les Étagères Audio;Audio Shelves;Estanterías de Audio;;;;Les produits de démonstrations sont à jour;Demonstration products are up to date;Los productos de demostración están actualizados;Tous;;
8;La Caisse;The Checkout;La Caja;;;;Poste de caisse rangé, propre et fonctionnel;Checkout station tidy, clean and functional;Puesto de caja ordenado, limpio y funcional;Tous;;
8;La Caisse;The Checkout;La Caja;;;;Tiroir caisse fermé à clé;Cash drawer locked;Cajón de caja cerrado con llave;Tous;;
8;La Caisse;The Checkout;La Caja;;;;Imprimantes laser et multifonction opérationnelles;Laser and multifunction printers operational;Impresoras láser y multifunción operativas;Tous;;
8;La Caisse;The Checkout;La Caja;;;;TPE et EDI Chèque en parfait état de fonctionnement;Card reader and cheque terminal in perfect working order;TPV y lector de cheques en perfecto estado de funcionamiento;Tous;;
8;La Caisse;The Checkout;La Caja;;;;Tiroir 4 rangé (fournitures complètes ni plus ni moins);Drawer 4 tidy (supplies complete, neither more nor less);Cajón 4 ordenado (suministros completos, ni más ni menos);Tous;;
8;La Caisse;The Checkout;La Caja;;;;Stock de fourniture rangé et pas de sur-stock;Supply stock tidy with no overstock;Stock de suministros ordenado y sin sobre-stock;Tous;;
8;La Caisse;The Checkout;La Caja;;;;Poubelle vidée chaque soir;Bin emptied every evening;Papelera vaciada cada noche;Tous;;
9;L'Arrière Caisse;Back Office;Trastienda de Caja;;;;Péniches en livraison rangées par ordre alphabétique;Delivery trays stored in alphabetical order;Bandejas de entrega ordenadas alfabéticamente;Tous;;
9;L'Arrière Caisse;Back Office;Trastienda de Caja;;;;Stocks papier, sacs… approvisionnés et rangés;Paper, bags... stock supplied and tidy;Stock de papel, bolsas... abastecido y ordenado;Tous;;
9;L'Arrière Caisse;Back Office;Trastienda de Caja;;;;Aides à la vente à jour et rangés;Sales aids up to date and tidy;Ayudas a la venta actualizadas y ordenadas;Tous;;
9;L'Arrière Caisse;Back Office;Trastienda de Caja;;;;Stocks cordons et prémontées rangés;Cord and pre-mounted lens stock tidy;Stock de cordones y premontados ordenado;Tous;;
9;L'Arrière Caisse;Back Office;Trastienda de Caja;;;;Présentoirs à Cordons et Bouchons d'oreilles complets;Cord and earplug displays fully stocked;Expositores de cordones y tapones para oídos completos;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Poste de montage rangé sans péniches;Glazing station tidy, no trays left out;Puesto de montaje ordenado sin bandejas;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Outils à leur place (pinces, tournevis) en bon état;Tools in their place (pliers, screwdrivers) in good condition;Herramientas en su sitio (alicates, destornilladores) en buen estado;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Produits de nettoyage identifiés et rangés;Cleaning products labelled and stored;Productos de limpieza identificados y guardados;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Bac à décanter vidé à la bonne fréquence;Settling tank emptied at the right frequency;Tanque de decantación vaciado con la frecuencia correcta;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Poubelle vidée chaque soir;Bin emptied every evening;Papelera vaciada cada noche;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Dossiers à facturer traités;Files to be invoiced processed;Expedientes por facturar procesados;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Armoire à vis rangée et tiroirs identifiables;Screw cabinet tidy with labelled drawers;Armario de tornillos ordenado y cajones identificables;Tous;;
10;L'Atelier;The Workshop;El Taller;Montage;Glazing;Montaje;Évier propre;Sink clean;Fregadero limpio;Tous;;
10;L'Atelier;The Workshop;El Taller;Réceptions;Receiving;Recepciones;Bac à ultrason propre;Ultrasonic bath clean;Baño de ultrasonidos limpio;Tous;;
10;L'Atelier;The Workshop;El Taller;Réceptions;Receiving;Recepciones;Téléphone fonctionnel;Phone working;Teléfono funcional;Tous;;
10;L'Atelier;The Workshop;El Taller;Réceptions;Receiving;Recepciones;Attentes de réceptions verres rangées;Incoming lens deliveries organised;Recepciones de cristales pendientes ordenadas;Tous;;
10;L'Atelier;The Workshop;El Taller;Audio;Audio;Audio;Bac à ultrason propre;Ultrasonic bath clean;Baño de ultrasonidos limpio;Tous;;
10;L'Atelier;The Workshop;El Taller;Audio;Audio;Audio;Aspirateur fonctionnel;Vacuum cleaner working;Aspiradora funcional;Tous;;
10;L'Atelier;The Workshop;El Taller;Audio;Audio;Audio;Outillage audio complet et rangé;Audio tools complete and tidy;Herramientas de audio completas y ordenadas;Tous;;
10;L'Atelier;The Workshop;El Taller;Commandes Verres;Lens Orders;Pedidos de Cristales;Lecteur Tess fonctionnel et calibré;Tess reader working and calibrated;Lector Tess funcional y calibrado;Tous;;
10;L'Atelier;The Workshop;El Taller;Commandes Verres;Lens Orders;Pedidos de Cristales;Dossiers en attente traités;Pending files processed;Expedientes pendientes procesados;Tous;;
10;L'Atelier;The Workshop;El Taller;Commandes Verres;Lens Orders;Pedidos de Cristales;Toutes les commandes sont passées le soir;All orders placed in the evening;Todos los pedidos se realizan por la noche;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;Salle propre et rangée pour accueillir le client;Room clean and tidy to welcome the client;Sala limpia y ordenada para recibir al cliente;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;La Plaquette de prix des prothèses à jour;Hearing aid price brochure up to date;El folleto de precios de audífonos está actualizado;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;Diplômes présentés dans les cadres et lisibles;Diplomas displayed in frames and legible;Diplomas expuestos en marcos y legibles;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;Tout le matériel est opérationnel;All equipment is operational;Todo el equipo está operativo;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;L'écran est allumé et la vidéo à jour tourne en boucle;Screen is on and up-to-date video loops;La pantalla está encendida y el vídeo actualizado se reproduce en bucle;Tous;;
11;La Salle Audio;The Audio Room;La Sala de Audio;;;;Les tiroirs sont PARFAITEMENT rangés;Drawers are PERFECTLY organised;Los cajones están PERFECTAMENTE ordenados;Tous;;
12;L'Armoire de Salles Audio;Audio Room Cabinet;Armario de la Sala de Audio;;;;Les péniches sont rangées et parfaitement identifiables;Trays are stored and clearly identifiable;Las bandejas están guardadas y claramente identificables;Tous;;
12;L'Armoire de Salles Audio;Audio Room Cabinet;Armario de la Sala de Audio;;;;Pas de sur-stock produits;No product overstock;Sin sobre-stock de productos;Tous;;
12;L'Armoire de Salles Audio;Audio Room Cabinet;Armario de la Sala de Audio;;;;Stock prothèses suivant la stratégie Audio;Hearing aid stock follows the Audio strategy;Stock de audífonos según la estrategia de Audio;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Salle propre et rangée pour accueillir le client;Room clean and tidy to welcome the client;Sala limpia y ordenada para recibir al cliente;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Boîte d'essai complète;Trial box complete;Caja de prueba completa;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Poste de réfraction propre et opérationnel;Refraction station clean and operational;Puesto de refracción limpio y operativo;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Lentilles d'essais en stock idéal - ni plus ni moins;Trial lenses at ideal stock level - neither more nor less;Lentillas de prueba en stock ideal - ni más ni menos;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Diplômes présentés dans les cadres et lisibles;Diplomas displayed in frames and legible;Diplomas expuestos en marcos y legibles;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Péniches contacto proprement rangées et identifiables;Contact lens trays neatly stored and identifiable;Bandejas de contactología bien guardadas e identificables;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Affiche Easylens à jour;Easylens poster up to date;Cartel Easylens actualizado;Tous;;
13;Salle Opto / Contacto;Optical / Contact Lens Room;Sala de Óptica / Contactología;;;;Poubelle vidée chaque soir;Bin emptied every evening;Papelera vaciada cada noche;Tous;;
14;L'Espace Enfants;Children's Area;Zona Infantil;;;;Jeux et coloriages disponibles;Games and colouring sheets available;Juegos y dibujos para colorear disponibles;Tous;;
14;L'Espace Enfants;Children's Area;Zona Infantil;;;;Crayons de couleurs taillés;Coloured pencils sharpened;Lápices de colores afilados;Tous;;
14;L'Espace Enfants;Children's Area;Zona Infantil;;;;Espace propre et rangé et en bon état;Area clean, tidy and in good condition;Zona limpia, ordenada y en buen estado;Tous;;
15;La Salle de Pause;The Break Room;La Sala de Descanso;;;;Frigo et micro-onde propre et rangé;Fridge and microwave clean and tidy;Frigorífico y microondas limpios y ordenados;Tous;;
15;La Salle de Pause;The Break Room;La Sala de Descanso;;;;Égouttoir vide en fin de journée;Dish rack empty at end of day;Escurreplatos vacío al final del día;Tous;;
15;La Salle de Pause;The Break Room;La Sala de Descanso;;;;Casiers individuels fermés;Individual lockers closed;Taquillas individuales cerradas;Tous;;
15;La Salle de Pause;The Break Room;La Sala de Descanso;;;;Poubelle vidée chaque soir;Bin emptied every evening;Papelera vaciada cada noche;Tous;;
16;Les Toilettes;Restrooms;Aseos;;;;Toilettes propres et rangées;Restrooms clean and tidy;Aseos limpios y ordenados;Tous;;
16;Les Toilettes;Restrooms;Aseos;;;;Papier toilette disponible et stock suffisant disponible;Toilet paper available with sufficient stock;Papel higiénico disponible con stock suficiente;Tous;;
16;Les Toilettes;Restrooms;Aseos;;;;Distributeur de savon plein et fonctionnel;Soap dispenser full and working;Dispensador de jabón lleno y funcional;Tous;;
16;Les Toilettes;Restrooms;Aseos;;;;Pas d'affaire personnelle (brosse à dents…) non rangée;No personal items left out (toothbrush, etc.);Sin objetos personales fuera de lugar (cepillo de dientes, etc.);Tous;;
16;Les Toilettes;Restrooms;Aseos;;;;Poubelle vidée chaque soir;Bin emptied every evening;Papelera vaciada cada noche;Tous;;
17;La Péniche;The Job Tray Area;El Área de Bandejas de Pedidos;Attente Montage;Awaiting Glazing;Espera Montaje;Tous les produits sont présents avec les bip;All products present with their tags;Todos los productos presentes con sus etiquetas;Tous;;
17;La Péniche;The Job Tray Area;El Área de Bandejas de Pedidos;Attente Montage;Awaiting Glazing;Espera Montaje;Éttiquettes lisibles;Labels legible;Etiquetas legibles;Tous;;
17;La Péniche;The Job Tray Area;El Área de Bandejas de Pedidos;Attente Montage;Awaiting Glazing;Espera Montaje;La date de commande verres est bien notée et lisible;Lens order date is clearly noted and legible;La fecha del pedido de cristales está bien anotada y legible;Tous;;
17;La Péniche;The Job Tray Area;El Área de Bandejas de Pedidos;Attente Livraison;Awaiting Delivery;Espera Entrega;Les montures sont propres et dans leurs étuis;Frames are clean and in their cases;Las monturas están limpias y en sus estuches;Tous;;
17;La Péniche;The Job Tray Area;El Área de Bandejas de Pedidos;Attente Livraison;Awaiting Delivery;Espera Entrega;Le reste à payer est clairement affiché;Balance due is clearly displayed;El saldo pendiente está claramente indicado;Tous;;
18;Le Cockpit;The Cockpit Board;El Panel Cockpit;;;;Tableau/Ecran propre et lisible;Board/screen clean and legible;Tablero/pantalla limpio y legible;Tous;;
18;Le Cockpit;The Cockpit Board;El Panel Cockpit;;;;Informations TOUTES à jour et connues de TOUS;ALL information up to date and known by EVERYONE;TODA la información actualizada y conocida por TODOS;Tous;;
19;Le Meuble Vitrine;Window Display Unit;Mueble Escaparate;;;;Meuble vitrine propre;Window display unit clean;Mueble escaparate limpio;Tous;;Oui
19;Le Meuble Vitrine;Window Display Unit;Mueble Escaparate;;;;Affiche de l'opération en cours à jour;Current promotion poster up to date;Cartel de la promoción vigente actualizado;Tous;;Oui
19;Le Meuble Vitrine;Window Display Unit;Mueble Escaparate;;;;Montures de marque présentées avec son équivalent MdC;Branded frames displayed alongside their house-brand equivalent;Monturas de marca expuestas con su equivalente de marca propia;Tous;;Oui
19;Le Meuble Vitrine;Window Display Unit;Mueble Escaparate;;;;Tous les produits ont leur prix bien visible;All products have their price clearly visible;Todos los productos tienen su precio claramente visible;Tous;;Oui
20;Le Présentoir Verres;Lens Display;Expositor de Cristales;;;;Tous les verres sont présentés;All lenses are on display;Todos los cristales están expuestos;Tous;;Oui
20;Le Présentoir Verres;Lens Display;Expositor de Cristales;;;;Aucun Verre Manquant;No missing lens;Ningún cristal faltante;Tous;;Oui
20;Le Présentoir Verres;Lens Display;Expositor de Cristales;;;;Tous les verres sont propres sans traces ni poussière;All lenses are clean, free of smudges and dust;Todos los cristales están limpios, sin marcas ni polvo;Tous;;Oui
